Wall time,Step,Value
1636804099.251529,58500,15566.2021484375
1636804100.6941924,59500,15574.4013671875
1636804101.4320447,60000,15559.84765625
1636804102.1699374,60500,15579.828125
1636804105.0751448,62500,15581.412109375
1636804105.7951932,63000,15524.4150390625
1636804106.517286,63500,15507.6572265625
1636804108.6730614,65000,15339.4384765625
1636804109.4206614,65500,15277.0771484375
1636804111.6007812,67000,15200.775390625
1636804114.4548166,69000,15442.8212890625
1636804115.8803844,70000,15498.5400390625
1636804117.3257377,71000,15515.61328125
1636804118.0584383,71500,15529.4365234375
1636804118.7598703,72000,15537.7890625
1636804119.4736257,72500,15506.7392578125
1636804122.4173944,74500,15406.28125
1636804123.873188,75500,15384.2666015625
1636804126.0320997,77000,15394.3564453125
1636804126.7542894,77500,15420.4736328125
1636804127.478402,78000,15482.7724609375
1636804128.9178169,79000,15569.08203125
1636804129.6412504,79500,15558.6328125
1636804130.3757875,80000,15548.83203125
1636804132.5315726,81500,15451.1728515625
1636804133.9550695,82500,15319.9892578125
1636804134.6810296,83000,15235.0654296875
1636804136.1048965,84000,15155.4150390625
1636804136.8167193,84500,15179.625
1636804138.953746,86000,15267.9599609375
1636804142.5639236,88500,15364.4580078125
1636804143.2896502,89000,15274.5927734375
1636804144.027996,89500,15277.3828125
1636804145.4597888,90500,15225.2275390625
1636804146.1689937,91000,15222.8876953125
1636804147.601781,92000,15172.3349609375
1636804149.0392485,93000,15033.40234375
1636804149.7685454,93500,15011.7568359375
1636804150.4869187,94000,14949.38671875
1636804151.190074,94500,14872.0771484375
1636804152.6418095,95500,14848.595703125
1636804153.3575814,96000,14826.96875
1636804158.4474297,99500,14798.8984375
1636804161.3352754,101500,14505.884765625
1636804164.316574,103500,14467.3017578125
1636804165.063302,104000,14442.6064453125
1636804165.794245,104500,14420.322265625
1636804168.8421054,106500,14489.14453125
1636804171.1311228,108000,14502.5732421875
1636804173.348325,109500,14179.6533203125
1636804174.0890956,110000,14089.517578125
1636804176.3149776,111500,14016.7080078125
1636804177.0651722,112000,14132.9609375
1636804178.5560873,113000,14184.38671875
1636804179.2973642,113500,14119.685546875
1636804180.0437093,114000,14018.94921875
1636804181.5190718,115000,13799.322265625
1636804182.2809515,115500,13775.6787109375
1636804183.7861135,116500,13607.775390625
1636804184.5311553,117000,13680.072265625
1636804185.2928994,117500,13709.6640625
1636804187.546621,119000,13624.1552734375
1636804189.7616496,120500,13401.9267578125
1636804193.3395226,123000,13151.681640625
1636804194.779763,124000,12984.54296875
1636804196.2214448,125000,13001.759765625
1636804196.9494622,125500,13003.7314453125
1636804200.559141,128000,13200.95703125
1636804202.7503722,129500,12944.826171875
1636804203.5184054,130000,12908.8173828125
1636804204.2324138,130500,12913.3798828125
1636804204.9447985,131000,12923.73046875
1636804206.3848262,132000,12928.9765625
1636804209.2734249,134000,12866.2197265625
1636804210.7029698,135000,12849.201171875
1636804212.13481,136000,12760.640625
1636804213.599684,137000,12608.0458984375
1636804217.2534397,139500,12164.2744140625
1636804218.7130992,140500,11930.03125
1636804221.5927706,142500,11562.353515625
1636804225.2200704,145000,11612.8076171875
1636804226.657974,146000,11665.2685546875
1636804227.3777394,146500,11746.5390625
1636804229.531924,148000,12104.8203125
1636804230.9417584,149000,12396.923828125
1636804231.647928,149500,12492.9267578125
1636804232.3530316,150000,12612.58203125
1636804233.7764318,151000,12885.408203125
1636804234.4781992,151500,12998.484375
1636804235.1978805,152000,13122.251953125
1636804238.0537767,154000,13529.69140625
1636804238.7692063,154500,13501.1884765625
1636804240.2110832,155500,13385.27734375
1636804242.349925,157000,13348.1611328125
1636804245.235917,159000,13261.482421875
1636804245.9739633,159500,13217.607421875
1636804246.6820138,160000,13161.0146484375
1636804247.4112332,160500,13121.6669921875
1636804248.8634562,161500,13089.1767578125
1636804250.9906473,163000,13061.6640625
1636804251.6965525,163500,13062.5458984375
1636804252.412976,164000,13079.27734375
1636804254.5433395,165500,13267.818359375
1636804255.2559054,166000,13308.6328125
1636804256.6699939,167000,13400.865234375
1636804260.987541,170000,13581.666015625
1636804262.4362335,171000,13620.46484375
1636804264.5867116,172500,13574.529296875
1636804265.312079,173000,13544.099609375
1636804266.7362905,174000,13554.845703125
1636804267.4491074,174500,13548.6904296875
1636804271.0620258,177000,13483.6923828125
1636804271.7681825,177500,13449.609375
1636804273.2046654,178500,13335.8935546875
1636804274.6320646,179500,13270.9228515625
1636804275.3612278,180000,13231.3857421875
1636804276.0655184,180500,13190.490234375
1636804278.2179046,182000,13130.3515625
1636804278.938917,182500,13127.0576171875
1636804281.0876434,184000,13179.654296875
1636804281.7981038,184500,13169.7900390625
1636804283.2532241,185500,13169.3486328125
1636804283.971635,186000,13176.279296875
1636804285.4311297,187000,13220.109375
1636804288.3125641,189000,13382.154296875
1636804289.0461884,189500,13425.6240234375
1636804289.7792544,190000,13423.248046875
1636804291.2619941,191000,13449.302734375
1636804292.0042179,191500,13471.0107421875
1636804294.161246,193000,13503.6904296875
1636804294.8892503,193500,13513.0771484375
1636804295.6090496,194000,13521.357421875
1636804296.3492148,194500,13540.0322265625
1636804297.8467913,195500,13580.748046875
1636804298.5887384,196000,13557.87890625
1636804299.327877,196500,13531.6796875
1636804300.0863023,197000,13534.802734375
1636804306.8156486,201500,13536.08984375
1636804307.553576,202000,13623.6962890625
1636804309.041089,203000,13735.5302734375
1636804311.2675755,204500,13989.8974609375
1636804316.4469433,208000,14492.3935546875
1636804317.188865,208500,14530.9501953125
1636804320.171097,210500,14456.115234375
1636804320.9157472,211000,14417.630859375
1636804321.6612298,211500,14383.3681640625
1636804323.1987274,212500,14301.5126953125
1636804324.6907191,213500,14094.3056640625
1636804327.6740553,215500,13673.798828125
1636804334.431409,220000,12884.71484375
1636804335.2082033,220500,12878.46875
1636804335.9590325,221000,12878.46875
1636804336.69734,221500,12877.2001953125
1636804338.1897616,222500,12877.2001953125
1636804338.9306574,223000,12877.2001953125
1636804341.1485112,224500,12877.2001953125
1636804343.3860345,226000,12877.2001953125
1636804348.585578,229500,12877.2001953125
1636804349.3400443,230000,12877.2001953125
1636804350.0911853,230500,12877.2001953125
1636804350.843574,231000,12877.2001953125
1636804352.3301175,232000,12877.2001953125
1636804353.0841658,232500,12877.2001953125
1636804353.8272002,233000,12877.2001953125
1636804355.3347347,234000,12877.2001953125
