Wall time,Step,Value
1636803092.4673455,167366,10192.7158203125
1636803092.9245648,167791,10197.296875
1636803093.8275497,168640,10203.470703125
1636803096.6664402,171169,10166.7958984375
1636803097.6227624,172006,10166.580078125
1636803098.98377,173271,10172.294921875
1636803099.44028,173694,10180.0712890625
1636803100.417968,174538,10184.53515625
1636803100.8813872,174959,10192.6083984375
1636803103.15991,177066,10186.5419921875
1636803103.638528,177485,10191.2763671875
1636803105.4759288,179169,10183.4013671875
1636803106.39311,180016,10164.0869140625
1636803107.7465231,181285,10158.8935546875
1636803109.6066582,182974,10185.6962890625
1636803111.5067155,184658,10183.9140625
1636803112.4814124,185500,10165.5986328125
1636803114.3142998,187184,10166.5166015625
1636803114.7685964,187606,10170.1796875
1636803115.2465613,188025,10159.119140625
1636803116.1712673,188872,10172.22265625
1636803116.6372893,189298,10175.2744140625
1636803118.496156,190981,10191.7978515625
1636803118.9950418,191399,10203.984375
1636803119.4568174,191818,10206.4140625
1636803120.8301387,193085,10206.1171875
1636803121.2661166,193505,10215.26953125
1636803121.7114553,193925,10202.5615234375
1636803126.2114637,198139,10233.072265625
1636803128.468028,200248,10238.5166015625
1636803131.7811825,203204,10226.888671875
1636803132.221496,203624,10216.0439453125
1636803134.5212104,205734,10198.0078125
1636803134.980384,206159,10183.76953125
1636803135.898105,207004,10193.9853515625
1636803136.8056695,207847,10201.734375
1636803138.5976942,209538,10182.7890625
1636803142.6453729,213337,10176.7587890625
1636803143.1208017,213759,10176.8310546875
1636803143.5682435,214183,10188.7646484375
1636803144.020597,214606,10198.0615234375
1636803145.402051,215863,10192.634765625
1636803148.1357005,218400,10193.9404296875
1636803151.4204452,221351,10216.39453125
1636803151.8782609,221773,10204.0556640625
1636803152.3341122,222197,10199.1962890625
1636803152.7839756,222619,10208.681640625
1636803153.7024732,223465,10207.7373046875
1636803154.1618528,223888,10193.9580078125
1636803155.5452101,225149,10171.0166015625
1636803156.0011566,225570,10167.615234375
1636803156.4557498,225992,10177.78515625
1636803158.327336,227677,10197.8369140625
1636803158.78684,228097,10201.2119140625
1636803160.568853,229786,10181.681640625
1636803163.9764721,232745,10207.080078125
1636803165.387683,234008,10209.4287109375
1636803165.848941,234428,10213.07421875
1636803166.7794502,235273,10211.7236328125
1636803167.669516,236110,10202.9580078125
1636803169.0621486,237375,10191.0146484375
1636803174.2181926,242012,10188.3330078125
1636803175.5977237,243274,10190.646484375
1636803176.0669937,243694,10185.1826171875
1636803176.525765,244116,10187.8291015625
1636803177.4526923,244961,10208.8798828125
1636803178.389606,245813,10220.53515625
1636803178.855504,246235,10234.3046875
1636803179.8378534,247078,10255.796875
1636803182.1666431,249182,10234.7373046875
1636803182.6363378,249603,10231.947265625
1636803185.3948956,252139,10227.654296875
1636803186.3071103,252984,10196.451171875
1636803186.778986,253406,10194.6328125
1636803187.2218535,253830,10197.224609375
1636803187.6774564,254250,10204.298828125
