Wall time,Step,Value
1636288785.0501995,2048,5867.7998046875
1636288787.6406806,4096,5945.6748046875
1636288790.0407841,6144,6087.88330078125
1636288792.4251838,8192,6223.14501953125
1636288794.8472857,10240,6255.89990234375
1636288797.282495,12288,6374.4208984375
1636288799.7223895,14336,6593.30078125
1636288802.1220644,16384,6704.40576171875
1636288804.5663822,18432,6878.115234375
1636288806.9963398,20480,7061.80517578125
1636288809.417203,22528,7325.84716796875
1636288811.8174667,24576,7479.5400390625
1636288814.2520945,26624,7721.171875
1636288816.6778283,28672,7988.1748046875
1636288819.1212869,30720,8235.8818359375
1636288821.5668254,32768,8483.435546875
1636288824.0372837,34816,8741.591796875
1636288826.4795802,36864,9067.5986328125
1636288828.8998725,38912,9412.9921875
1636288831.3612423,40960,9688.5087890625
1636288833.8391109,43008,10135.44921875
1636288836.2925942,45056,10451.1513671875
1636288838.9377787,47104,10791.32421875
1636288841.4328132,49152,11008.4580078125
1636288843.9034722,51200,11325.923828125
1636288846.5137272,53248,11595.96875
1636288849.0246027,55296,11796.66015625
1636288851.5036378,57344,12088.7275390625
1636288853.9740958,59392,12278.4296875
1636288856.434721,61440,12522.8876953125
1636288858.9297824,63488,12726.8369140625
1636288861.3814492,65536,12894.794921875
1636288863.893423,67584,13100.7685546875
1636288866.3773293,69632,13173.8671875
1636288868.8533587,71680,13221.4501953125
1636288871.3301706,73728,13443.4345703125
1636288873.8044112,75776,13506.8037109375
1636288876.313748,77824,13605.767578125
1636288878.7903519,79872,13690.9892578125
1636288881.2807457,81920,13807.9892578125
1636288883.7563956,83968,13998.806640625
1636288886.2585802,86016,14000.166015625
1636288888.73379,88064,14117.2744140625
1636288891.1978097,90112,14247.7646484375
1636288893.6698055,92160,14304.8427734375
1636288896.1805553,94208,14376.4921875
1636288898.65123,96256,14441.71484375
1636288901.1197283,98304,14548.1845703125
1636288903.6329813,100352,14714.7841796875
1636288906.1376014,102400,14735.1064453125
1636288908.8000019,104448,14801.8232421875
1636288911.2818701,106496,14857.8662109375
1636288913.7755582,108544,14894.658203125
1636288916.2527268,110592,14870.177734375
1636288918.74897,112640,14889.833984375
1636288921.2508674,114688,14948.14453125
1636288923.763204,116736,15058.98046875
1636288926.250994,118784,15055.6318359375
1636288928.7385974,120832,15165.8642578125
1636288931.2282975,122880,15243.77734375
1636288933.6976216,124928,15233.3095703125
1636288936.1904967,126976,15238.74609375
1636288938.6857042,129024,15221.7626953125
1636288941.194561,131072,15273.1708984375
1636288943.694728,133120,15309.0
1636288946.201425,135168,15355.8447265625
1636288948.6933732,137216,15422.4453125
1636288951.2104063,139264,15487.1640625
1636288953.712196,141312,15503.3642578125
1636288956.2093134,143360,15475.5087890625
1636288958.6997466,145408,15472.818359375
1636288961.1816764,147456,15465.99609375
1636288963.6379752,149504,15429.806640625
1636288966.1111207,151552,15417.7744140625
1636288968.7874842,153600,15441.6865234375
1636288971.3141797,155648,15521.4716796875
1636288973.8319268,157696,15512.1025390625
1636288976.2903419,159744,15507.3505859375
1636288978.7969892,161792,15559.298828125
1636288981.3028038,163840,15579.224609375
1636288983.8158169,165888,15569.97265625
1636288986.3367763,167936,15508.998046875
1636288988.8371801,169984,15518.8076171875
1636288991.3269866,172032,15503.7421875
1636288993.8104208,174080,15561.5126953125
1636288996.3013008,176128,15560.2080078125
1636288998.806156,178176,15548.048828125
1636289001.3041062,180224,15564.392578125
1636289003.8058324,182272,15623.0009765625
1636289006.2704046,184320,15569.55859375
1636289008.7641137,186368,15496.8115234375
1636289011.295178,188416,15424.43359375
1636289013.773067,190464,15458.0849609375
1636289016.2827277,192512,15489.369140625
1636289018.7534316,194560,15519.87890625
1636289021.2453136,196608,15601.4189453125
1636289023.7444298,198656,15703.640625
1636289026.2370296,200704,15705.85546875
1636289028.883157,202752,15784.3984375
1636289031.4662359,204800,15769.7373046875
1636289033.9514775,206848,15832.125
1636289036.430116,208896,15815.0341796875
1636289038.9063365,210944,15808.896484375
1636289041.4122083,212992,15890.2109375
1636289043.926844,215040,15931.1337890625
1636289046.436218,217088,15949.169921875
1636289048.9369805,219136,15934.8603515625
1636289051.4100447,221184,15898.986328125
1636289053.9264138,223232,15894.4052734375
1636289056.4035408,225280,15845.966796875
1636289058.896366,227328,15791.076171875
1636289061.3815024,229376,15811.830078125
1636289063.9117918,231424,15731.630859375
1636289066.3908725,233472,15778.56640625
1636289068.8889327,235520,15774.15625
1636289071.3965712,237568,15767.603515625
1636289073.9050932,239616,15723.4501953125
1636289076.4098363,241664,15675.974609375
1636289078.9221222,243712,15722.55859375
1636289081.3933685,245760,15700.9052734375
1636289083.8985844,247808,15702.2373046875
1636289086.393794,249856,15710.580078125
1636289089.0326755,251904,15705.7919921875
1636289091.5541553,253952,15691.517578125
1636289094.0407758,256000,15681.609375
1636289096.503931,258048,15705.576171875
1636289098.9860945,260096,15664.482421875
1636289101.4843917,262144,15681.05078125
1636289103.9723752,264192,15728.53515625
1636289106.492598,266240,15749.6943359375
1636289108.966584,268288,15757.7666015625
1636289111.4604702,270336,15740.7841796875
1636289113.9470792,272384,15803.2255859375
1636289116.4461544,274432,15856.8662109375
1636289118.917488,276480,15840.8095703125
1636289121.3934474,278528,15900.2822265625
1636289123.8986933,280576,15868.8447265625
1636289126.3937583,282624,15904.4853515625
1636289128.8834996,284672,15888.095703125
1636289131.3751838,286720,15849.85546875
1636289133.8516564,288768,15833.205078125
1636289136.3816261,290816,15833.04296875
1636289138.8876266,292864,15837.767578125
1636289141.3799145,294912,15784.181640625
1636289143.8474774,296960,15786.638671875
1636289146.3673604,299008,15836.23828125
1636289148.9925156,301056,15893.5322265625
1636289151.5558338,303104,15885.890625
1636289154.0370038,305152,15938.9638671875
1636289156.527395,307200,16000.9921875
1636289159.0315773,309248,15973.533203125
1636289161.527393,311296,15901.892578125
1636289164.0375876,313344,15901.3349609375
1636289166.5415447,315392,15900.8935546875
1636289169.0656736,317440,15873.8310546875
1636289171.5564027,319488,15849.873046875
1636289174.0609505,321536,15859.5390625
1636289176.5497441,323584,15910.34375
1636289179.041628,325632,15902.658203125
1636289181.5315213,327680,15929.8740234375
1636289184.0350888,329728,15893.2802734375
1636289186.5140595,331776,15917.283203125
1636289189.0210466,333824,15908.921875
1636289191.5033226,335872,15851.888671875
1636289193.9983273,337920,15815.384765625
1636289196.5074909,339968,15717.7080078125
1636289198.9918303,342016,15765.1015625
1636289201.484823,344064,15752.27734375
1636289203.9792798,346112,15736.724609375
1636289206.489345,348160,15734.27734375
1636289209.1197288,350208,15767.3701171875
1636289211.673547,352256,15777.134765625
1636289214.1306052,354304,15719.9580078125
1636289216.6401763,356352,15710.9853515625
1636289219.1416917,358400,15725.4482421875
1636289221.639438,360448,15782.4267578125
1636289224.137283,362496,15833.412109375
1636289226.6343455,364544,15845.166015625
1636289229.1034572,366592,15869.1328125
1636289231.5971754,368640,15867.9990234375
1636289234.1070852,370688,15825.185546875
1636289236.5702472,372736,15795.900390625
1636289239.0674949,374784,15780.5009765625
1636289241.5789015,376832,15779.8173828125
1636289244.0777023,378880,15833.04296875
1636289246.6031585,380928,15838.478515625
1636289249.113278,382976,15921.783203125
1636289251.637211,385024,15939.755859375
1636289254.1524875,387072,15943.0947265625
1636289256.6742656,389120,15981.1015625
1636289259.1942127,391168,15977.4931640625
1636289261.7184324,393216,15939.666015625
1636289264.2661269,395264,15901.857421875
1636289266.7723823,397312,15924.861328125
1636289269.2563481,399360,15885.962890625
1636289271.7417333,401408,15876.1171875
1636289274.2333145,403456,15866.703125
1636289276.712187,405504,15920.3251953125
1636289279.2101119,407552,15863.4453125
1636289281.717787,409600,15845.9755859375
1636289284.2604265,411648,15883.0556640625
1636289286.7783344,413696,15868.1162109375
1636289289.2762065,415744,15859.1337890625
1636289291.7517667,417792,15801.884765625
1636289294.2523243,419840,15828.5068359375
1636289296.7483761,421888,15822.638671875
1636289299.2472432,423936,15804.0986328125
1636289301.7459579,425984,15809.8408203125
1636289304.2531848,428032,15841.556640625
1636289306.7340043,430080,15871.1943359375
1636289309.234051,432128,15936.2734375
1636289311.730703,434176,15949.8271484375
1636289314.2354088,436224,15976.3046875
1636289316.734204,438272,15988.4013671875
1636289319.2517262,440320,15994.998046875
1636289321.7368906,442368,15981.3447265625
1636289324.2368217,444416,15921.693359375
1636289326.7405057,446464,15882.453125
1636289329.255825,448512,15847.0654296875
1636289331.7638052,450560,15798.0244140625
1636289334.2604802,452608,15766.1005859375
1636289336.771429,454656,15736.70703125
1636289339.264719,456704,15735.4287109375
1636289341.756944,458752,15809.03125
1636289344.269088,460800,15862.3203125
1636289346.784282,462848,15888.599609375
1636289349.291798,464896,15848.009765625
1636289351.8058927,466944,15874.7490234375
1636289354.3049245,468992,15883.2724609375
1636289356.76761,471040,15816.3662109375
1636289359.26208,473088,15787.71875
1636289361.7733135,475136,15765.15625
1636289364.2979338,477184,15798.150390625
1636289366.789911,479232,15825.6904296875
1636289369.2742362,481280,15793.9736328125
1636289371.7551632,483328,15856.2177734375
1636289374.267418,485376,15887.57421875
1636289376.745233,487424,15943.47265625
1636289379.272253,489472,15992.8017578125
1636289381.75863,491520,15977.6552734375
1636289384.2494802,493568,15981.8935546875
1636289386.7422006,495616,15932.8076171875
1636289389.2413976,497664,15940.556640625
1636289391.766395,499712,15945.111328125
1636289394.2503371,501760,15907.841796875
1636289396.7681317,503808,15900.2822265625
1636289399.2649047,505856,15892.029296875
1636289401.7752268,507904,15863.328125
1636289404.2988968,509952,15899.0673828125
1636289406.7892447,512000,15931.7373046875
1636289409.314681,514048,15910.1640625
1636289411.7819061,516096,15938.4423828125
1636289414.2964847,518144,15984.0537109375
1636289416.8023014,520192,15992.26171875
1636289419.2863784,522240,15956.73046875
1636289421.772028,524288,15856.830078125
1636289424.2566907,526336,15867.7919921875
1636289426.7644086,528384,15869.474609375
1636289429.274431,530432,15810.3994140625
1636289431.7693927,532480,15771.095703125
1636289434.2596884,534528,15815.1689453125
1636289436.7505074,536576,15894.7197265625
1636289439.245376,538624,15886.03515625
1636289441.7493262,540672,15889.5537109375
1636289444.233397,542720,15937.1552734375
1636289446.7232695,544768,15944.759765625
1636289449.2285502,546816,15906.16796875
1636289451.7452967,548864,15831.6298828125
1636289454.243213,550912,15779.4296875
1636289456.7545366,552960,15766.4521484375
1636289459.276107,555008,15772.7880859375
1636289461.788433,557056,15790.931640625
1636289464.2657418,559104,15797.267578125
1636289466.7796946,561152,15852.033203125
1636289469.2862453,563200,15900.83984375
1636289471.772342,565248,15905.4208984375
